,patients,selected,metric,metric_ct,metric_pheno,rrms_to_nindc,selected_to_cohort,ct_evaluation,ct_evaluation_highlights
cd8_reg_uncertainty_v3_filter-7,62,2034,0.205,0.207,0.992,1.235,0.512,mtl_cd8_reg_uncertainty_v3_filter-7;cd8;0.879,
cd8_reg_uncertainty_v3_filter-8,43,139,0.447,0.541,0.825,2.861,0.035,,
cd8_reg_uncertainty_v3_filter-9,29,76,0.347,0.714,0.485,8.5,0.019,,
cd8_reg_uncertainty_v3_filter-10,35,98,0.296,0.524,0.565,6.538,0.025,,
cd8_reg_uncertainty_v3_filter-11,56,799,0.482,0.507,0.949,1.718,0.201,,
cd8_reg_uncertainty_v3_filter-12,49,152,0.405,0.477,0.85,2.619,0.038,,
cd8_reg_uncertainty_v3_filter-14,55,769,0.352,0.361,0.974,1.465,0.194,,
cd8_reg_uncertainty_v3_filter-15,43,119,0.435,0.553,0.787,3.25,0.03,,
cd8_reg_uncertainty_v3_filter-16,40,152,0.275,0.461,0.597,5.909,0.038,,
cd8_reg_uncertainty_v3_filter-18,30,69,0.346,0.547,0.633,5.273,0.017,,
cd8_reg_uncertainty_v3_filter-19,33,108,0.334,0.47,0.711,4.143,0.027,,
cd8_reg_uncertainty_v3_filter-20,53,427,0.337,0.392,0.86,2.529,0.108,,
cd8_reg_uncertainty_v3_filter-24,37,113,0.49,0.708,0.693,4.381,0.028,,
cd8_reg_uncertainty_v3_filter-26,44,140,0.455,0.596,0.763,3.516,0.035,,
cd8_reg_uncertainty_v3_filter-27,58,658,0.555,0.566,0.982,0.727,0.166,,
cd8_reg_uncertainty_v3_filter-29,33,100,0.39,0.615,0.634,5.25,0.025,,
b_reg_uncertainty_v3_filter-1,31,59,0.216,0.456,0.474,8.833,0.026,,
b_reg_uncertainty_v3_filter-2,30,54,0.28,0.628,0.445,9.8,0.024,,
b_reg_uncertainty_v3_filter-3,44,172,0.376,0.458,0.82,2.909,0.076,,
b_reg_uncertainty_v3_filter-4,41,125,0.403,0.6,0.671,4.682,0.055,,
b_reg_uncertainty_v3_filter-6,62,4784,0.355,0.361,0.984,1.345,2.122,,
b_reg_uncertainty_v3_filter-7,49,320,0.539,0.595,0.906,2.107,0.142,mtl_b_reg_uncertainty_v3_filter-7;nk;0.459,mtl_b_reg_uncertainty_v3_filter-7;nk;0.459
b_reg_uncertainty_v3_filter-8,60,737,0.225,0.226,0.993,0.815,0.327,mtl_b_reg_uncertainty_v3_filter-8;b;0.894,
b_reg_uncertainty_v3_filter-9,30,68,0.191,0.504,0.379,12.6,0.03,,
b_reg_uncertainty_v3_filter-10,40,147,0.262,0.443,0.592,6.0,0.065,,
b_reg_uncertainty_v3_filter-11,40,96,0.274,0.422,0.65,5.0,0.043,,
b_reg_uncertainty_v3_filter-13,43,100,0.405,0.533,0.76,3.545,0.044,,
b_reg_uncertainty_v3_filter-14,39,155,0.353,0.554,0.637,5.2,0.069,,
b_reg_uncertainty_v3_filter-15,32,67,0.263,0.605,0.435,10.167,0.03,,
b_reg_uncertainty_v3_filter-16,36,96,0.266,0.371,0.718,4.053,0.043,,
b_reg_uncertainty_v3_filter-17,59,938,0.186,0.189,0.984,1.351,0.416,mtl_b_reg_uncertainty_v3_filter-17;b;0.918,
b_reg_uncertainty_v3_filter-19,57,799,0.565,0.608,0.93,1.895,0.354,,
b_reg_uncertainty_v3_filter-20,26,64,0.181,0.537,0.337,15.0,0.028,,
b_reg_uncertainty_v3_filter-21,34,77,0.37,0.448,0.826,2.85,0.034,,
b_reg_uncertainty_v3_filter-22,41,110,0.5,0.692,0.722,4.0,0.049,,
b_reg_uncertainty_v3_filter-23,50,420,0.46,0.535,0.86,2.529,0.186,,
my_reg_uncertainty_v3_filter-0,38,82,0.354,0.48,0.736,3.824,0.196,,
my_reg_uncertainty_v3_filter-2,46,153,0.446,0.559,0.798,3.135,0.366,,
my_reg_uncertainty_v3_filter-3,32,55,0.415,0.607,0.684,4.5,0.132,,
my_reg_uncertainty_v3_filter-4,43,125,0.373,0.516,0.722,4.0,0.299,,
my_reg_uncertainty_v3_filter-5,43,104,0.311,0.429,0.726,3.952,0.249,,
my_reg_uncertainty_v3_filter-6,55,1068,0.363,0.376,0.964,1.573,2.555,,
my_reg_uncertainty_v3_filter-7,39,102,0.747,0.806,0.928,1.914,0.244,,
my_reg_uncertainty_v3_filter-8,51,309,0.51,0.611,0.835,2.768,0.739,,
my_reg_uncertainty_v3_filter-9,34,59,0.38,0.578,0.657,4.9,0.141,,
my_reg_uncertainty_v3_filter-10,30,87,0.388,0.585,0.663,4.8,0.208,,
my_reg_uncertainty_v3_filter-11,55,238,0.704,0.719,0.98,1.404,0.569,,
my_reg_uncertainty_v3_filter-12,50,392,0.627,0.744,0.842,2.698,0.938,,
my_reg_uncertainty_v3_filter-14,40,109,0.282,0.337,0.836,2.759,0.261,,
my_reg_uncertainty_v3_filter-15,31,60,0.243,0.398,0.61,5.667,0.144,,
my_reg_uncertainty_v3_filter-16,43,166,0.338,0.487,0.695,4.355,0.397,,
my_reg_uncertainty_v3_filter-17,38,83,0.518,0.708,0.731,3.882,0.199,,
my_reg_uncertainty_v3_filter-18,44,164,0.493,0.623,0.791,3.205,0.392,,
my_reg_uncertainty_v3_filter-19,31,80,0.2,0.328,0.61,5.667,0.191,,
my_reg_uncertainty_v3_filter-20,50,201,0.583,0.714,0.817,2.941,0.481,,
my_reg_uncertainty_v3_filter-21,24,36,0.404,0.622,0.65,5.0,0.086,,
my_reg_uncertainty_v3_filter-22,40,126,0.313,0.497,0.631,5.3,0.301,,
nkt_reg_uncertainty_v3_filter-1,28,61,0.112,0.394,0.283,19.333,0.167,,
nkt_reg_uncertainty_v3_filter-2,29,54,0.222,0.584,0.381,12.5,0.148,,
nkt_reg_uncertainty_v3_filter-3,58,1572,0.354,0.371,0.955,1.66,4.295,,
nkt_reg_uncertainty_v3_filter-4,38,141,0.342,0.508,0.674,4.64,0.385,,
nkt_reg_uncertainty_v3_filter-5,46,156,0.373,0.439,0.849,2.628,0.426,,
nkt_reg_uncertainty_v3_filter-6,44,124,0.433,0.551,0.785,3.276,0.339,,
nkt_reg_uncertainty_v3_filter-7,52,216,0.574,0.575,0.998,1.118,0.59,,
nkt_reg_uncertainty_v3_filter-8,46,148,0.437,0.58,0.753,3.625,0.404,,
nkt_reg_uncertainty_v3_filter-9,38,129,0.434,0.575,0.755,3.607,0.352,,
nkt_reg_uncertainty_v3_filter-10,52,362,0.621,0.711,0.872,2.415,0.989,,
nkt_reg_uncertainty_v3_filter-11,59,1208,0.598,0.634,0.943,1.777,3.301,,
nkt_reg_uncertainty_v3_filter-12,37,102,0.444,0.622,0.714,4.1,0.279,,
nkt_reg_uncertainty_v3_filter-13,25,31,0.211,0.613,0.345,14.5,0.085,,
nkt_reg_uncertainty_v3_filter-14,31,61,0.257,0.501,0.514,7.714,0.167,,
nkt_reg_uncertainty_v3_filter-15,49,223,0.434,0.513,0.847,2.656,0.609,,
nkt_reg_uncertainty_v3_filter-16,39,99,0.411,0.602,0.684,4.5,0.27,,
